cat,treeID,Z,HTLC_x,vol1,vol2,vol3,vol4,vol5,sfa1,sfa2,sfa3,sfa4,sfa5,UndHt,XTOP,YTOP,ZTOP,Carea,mCDst,plotID,uni,NNhere,CI_Carea,CI_Z,CI_mCDst,CI_HTLC,CI_vol1,CI_vol2,CI_vol3,CI_vol4,CI_vol5,CI_sfa1,CI_sfa2,CI_sfa3,CI_sfa4,CI_sfa5,SILVA1,SILVA2,X1,Y1,Id,Area,NL,pStV_LMR,pStV_RF,pDBH_LMR,pDBH_RF,geom_type,geom_x,geom_y,Z_ft,status,tree_idx_in_row,thin_decision
1539,2296,19.944,15.4,4.331,15.196,18.823,22.282,30.914,14.855,34.007,40.037,47.622,66.627,0.0,725471.208,4162633.399,19.944,5.63764353128499,3.475,1,2295,7,2.579,2.641,2.651,2.799,2.923,2.722,2.444,2.33,2.79,2.851,2.705,2.478,2.367,2.849,4.0,107.0,725471.125,4162633.578,0,26844.5658775,31,10.2939032543824,13.1634120333333,7.8451274407154,8.10137669594199,Point,725471.125,4162633.578,65.43307295999999,Alive,18,Thin
1510,2247,20.387,15.0,6.918,20.144,28.115,34.64,38.947,19.903,40.696,53.072,65.507,74.726,0.0,725472.04125,4162634.7475,20.3875,6.75639400014188,3.649,1,2246,6,2.393,2.173,2.26,2.365,4.298,2.962,2.71,2.666,2.421,3.337,2.647,2.533,2.525,2.306,5.0,121.0,725472.415,4162635.003,0,26844.5658775,31,11.4497337987276,13.1187573,8.1019323436475,8.75651003564713,Point,725472.415,4162635.003,66.88648508,Alive,19,Keep
1489,2214,21.902,15.0,4.76,17.742,28.616,35.36,43.3,16.415,38.397,54.649,66.339,81.519,0.0,725474.35175,4162636.05275,21.9025,6.62990256235935,3.624,1,2213,7,2.503,2.603,2.523,2.617,2.881,2.623,2.755,2.692,2.762,2.868,2.62,2.724,2.647,2.715,5.0,120.0,725474.255,4162635.946,0,26844.5658775,31,12.9203350496705,13.9472017333333,8.79386599653977,8.82052337545274,Point,725474.255,4162635.946,71.85695768000001,Alive,20,Keep
1471,2185,21.774,15.4,3.799,18.422,26.845,34.217,44.307,13.253,38.797,50.44,64.64,81.319,0.0,725475.821,4162636.7825,21.77425,6.81572149996646,3.64,1,2184,7,2.548,2.583,2.548,2.585,2.627,2.85,2.591,2.732,2.837,2.394,2.69,2.49,2.673,2.713,4.0,92.0,725475.959,4162636.995,0,26844.5658775,31,13.021398654787,13.9384593666667,8.7673370606579,8.91161338062417,Point,725475.959,4162636.995,71.43701016,Alive,21,Keep
1450,2144,20.298,15.6,2.077,12.979,20.995,25.665,31.445,9.93,31.982,44.564,54.297,66.181,12.0,725476.77325,4162637.58575,20.2985,6.16903924942017,3.494,1,2143,7,1.905,2.313,2.252,2.562,1.293,1.743,1.728,1.707,1.708,1.716,2.043,2.023,2.023,2.033,4.0,135.0,725477.263,4162638.445,0,26844.5658775,31,10.5119636737062,12.1016319,8.24556013418859,8.52578334284333,Point,725477.263,4162638.445,66.59449031999999,Alive,22,Keep
1438,2123,20.799,14.4,2.687,17.383,31.784,38.724,45.876,10.711,37.122,54.831,65.802,79.011,0.0,725479.33175,4162639.10125,20.799,9.38384271797258,3.986,1,2122,7,2.702,2.181,2.318,2.117,1.601,2.218,2.538,2.502,2.508,1.663,2.207,2.338,2.309,2.359,6.0,127.0,725479.447,4162639.186,0,26844.5658775,31,12.4812336661657,12.0743003333333,8.34781488096822,8.34390003477976,Point,725479.447,4162639.186,68.23819116,Alive,23,Keep
1399,2053,21.111,14.2,2.536,16.241,27.59,34.376,38.945,10.219,35.066,50.11,60.684,68.818,0.0,725481.94875,4162641.35225,21.1115,8.7338843436446,4.003,1,2052,7,2.614,2.221,2.379,2.137,1.272,2.058,2.174,2.233,2.182,1.474,2.105,2.109,2.122,2.062,7.0,148.0,725481.842,4162641.008,0,26844.5658775,31,11.8490159992758,13.004893,8.21495464277958,7.94859004439673,Point,725481.842,4162641.008,69.26181324,Alive,24,Thin
1386,2028,20.306,16.0,4.708,14.849,20.141,23.323,28.15,15.676,33.015,43.205,51.15,62.345,13.0,725483.3375,4162642.0165,20.306,5.76824915615725,3.514,1,2027,8,2.203,2.584,2.593,2.925,3.59,2.41,2.053,1.857,1.946,3.165,2.473,2.31,2.193,2.307,4.0,119.0,725483.626,4162642.048,0,26844.5658775,31,10.1860044769231,13.3449385,8.08183739538466,8.54330002906747,Point,725483.626,4162642.048,66.62073704000001,Alive,25,Keep
1370,1995,21.359,15.6,4.493,16.746,23.47,31.349,36.334,15.24,35.815,46.105,60.157,71.225,13.6,725485.171,4162642.87125,21.35875,6.39917456242256,3.485,1,1994,7,2.679,2.594,2.555,2.521,3.137,2.764,2.674,2.867,2.786,2.867,2.643,2.558,2.68,2.644,4.0,92.0,725485.256,4162643.108,0,26844.5658775,31,11.855293270057,14.2181946333333,8.18167029710277,7.93356000803306,Point,725485.256,4162643.108,70.07546156000001,Alive,26,Thin
1348,1960,21.369,16.8,3.448,16.202,23.121,29.0,32.693,12.413,35.561,46.677,58.98,67.812,15.4,725486.87325,4162644.40825,21.36875,5.89857231255155,3.26,1,1959,7,2.523,2.623,2.48,2.689,1.99,2.602,2.689,2.671,2.535,2.096,2.615,2.676,2.699,2.578,2.0,45.0,725486.762,4162644.293,0,26844.5658775,31,11.5693712936674,15.0435508666667,8.09082215578647,8.36449668553637,Point,725486.762,4162644.293,70.10826996,Alive,27,Keep
1342,1951,21.447,16.8,5.025,15.308,23.126,28.543,29.896,15.984,34.029,47.551,59.023,63.252,0.0,725488.93,4162644.41825,21.4465,5.33964296880004,3.097,1,1950,6,2.123,2.462,2.18,2.484,2.821,2.301,2.517,2.487,2.191,2.582,2.331,2.549,2.544,2.26,3.0,80.0,725488.666,4162644.473,0,26844.5658775,31,11.2168148522316,14.5357675333333,8.12617156973056,8.66282665701843,Point,725488.666,4162644.473,70.36417548,Alive,28,Keep
1316,1902,22.317,16.2,4.712,17.332,24.666,31.497,36.502,15.859,36.83,48.136,60.513,71.038,0.0,725490.061,4162646.216,22.3175,6.46072865632596,3.547,1,1901,6,2.274,2.383,2.291,2.294,2.164,2.376,2.337,2.412,2.402,2.181,2.319,2.263,2.347,2.331,3.0,63.0,725489.914,4162646.106,0,26844.5658775,31,12.565147349935,12.9323626,8.5439063794248,8.6271100072328,Point,725489.914,4162646.106,73.21850628,Alive,29,Keep
1298,1868,21.318,14.8,4.518,15.481,23.657,32.472,38.218,15.626,34.799,49.45,63.382,75.585,0.0,725490.99625,4162646.693,21.31825,6.56892203132156,3.627,1,1867,6,2.197,2.217,2.259,2.186,2.915,2.155,2.099,2.314,2.354,2.67,2.187,2.247,2.354,2.404,6.0,163.0,725491.301,4162647.339,0,26844.5658775,31,11.863075489484,13.8399097,8.41946769925797,8.75684002391399,Point,725491.301,4162647.339,69.94094712,Alive,30,Keep
1284,1845,22.54,15.0,2.317,12.517,22.99,28.067,31.991,9.792,30.97,48.511,58.174,67.401,0.0,725493.08675,4162648.039,22.54,5.39502993722272,3.363,1,1844,6,1.692,2.481,2.073,2.318,1.289,1.631,1.952,1.903,1.838,1.503,1.893,2.158,2.122,2.078,5.0,167.0,725493.04,4162647.955,0,26844.5658775,31,11.940037840085,11.8251378666667,8.90176004972529,8.95105002656867,Point,725493.04,4162647.955,73.9501336,Alive,31,Keep
1263,1805,21.051,14.6,4.274,21.382,32.431,39.585,46.569,15.071,42.201,55.919,67.588,79.272,0.0,725494.487,4162649.136,21.05075,8.25334684317932,3.603,1,1804,6,2.42,2.095,2.021,2.067,2.53,2.656,2.514,2.522,2.688,2.329,2.391,2.278,2.308,2.449,6.0,142.0,725494.48,4162649.399,0,26844.5658775,31,12.684320501794,13.3454767666667,8.42874223450679,8.36212002547187,Point,725494.48,4162649.399,69.06496283999999,Alive,32,Keep
