cat,treeID,Z,HTLC_x,vol1,vol2,vol3,vol4,vol5,sfa1,sfa2,sfa3,sfa4,sfa5,UndHt,XTOP,YTOP,ZTOP,Carea,mCDst,plotID,uni,NNhere,CI_Carea,CI_Z,CI_mCDst,CI_HTLC,CI_vol1,CI_vol2,CI_vol3,CI_vol4,CI_vol5,CI_sfa1,CI_sfa2,CI_sfa3,CI_sfa4,CI_sfa5,SILVA1,SILVA2,X1,Y1,Id,Area,NL,pStV_LMR,pStV_RF,pDBH_LMR,pDBH_RF,geom_type,geom_x,geom_y,Z_ft,status,tree_idx_in_row,thin_decision
324,459,20.527,17.0,5.527,16.454,24.629,31.232,35.871,17.096,35.786,49.783,61.348,72.019,0.0,725479.18,4162711.34475,20.5275,6.24822478118585,3.598,1,458,7,2.508,2.483,2.641,2.931,4.03,2.791,2.647,2.586,2.544,3.344,2.702,2.69,2.598,2.618,3.0,71.0,725478.732,4162711.737,0,26844.5658775,11,11.3188821791633,14.2612864333333,8.13324751991155,7.9433033481784,Point,725478.732,4162711.737,67.34580268,Alive,16,Keep
313,447,21.293,15.0,3.782,15.085,21.291,31.031,31.057,13.579,33.935,43.663,61.307,61.428,0.0,725480.284,4162712.38875,21.2935,6.00028374989051,3.426,1,446,7,2.253,2.548,2.419,2.405,2.578,2.382,2.086,2.361,2.005,2.532,2.422,2.191,2.449,2.075,6.0,157.0,725480.16,4162712.628,0,26844.5658775,11,11.0551733308095,14.1277019333334,8.25249268297324,8.78252668779824,Point,725480.16,4162712.628,69.85892611999999,Alive,17,Keep
300,433,21.731,18.2,3.745,16.464,25.053,35.747,38.505,13.525,36.806,49.886,68.782,74.357,0.0,725481.95925,4162713.576,21.73075,6.42438956274418,3.736,1,432,6,2.123,2.277,2.306,2.843,2.133,2.223,2.231,2.503,2.359,2.147,2.273,2.259,2.5,2.372,1.0,25.0,725481.798,4162713.649,0,26844.5658775,11,12.5079481673207,15.1484016666667,8.66117922859388,8.78050001686069,Point,725481.798,4162713.649,71.29593404,Alive,18,Keep
290,423,22.052,16.8,3.965,15.959,23.656,28.301,33.134,14.059,35.833,48.393,56.276,65.471,0.0,725483.45725,4162714.4475,22.05225,6.48004925006535,3.872,1,422,7,2.143,2.528,2.532,2.871,2.391,2.154,1.948,1.826,1.804,2.36,2.281,2.158,2.013,1.977,2.0,49.0,725483.361,4162714.514,0,26844.5658775,11,12.0497777940221,13.8750269666667,8.73466700714377,8.75150998688594,Point,725483.361,4162714.514,72.34908367999999,Alive,19,Keep
285,417,21.668,14.0,4.812,20.505,34.414,40.567,51.391,16.051,40.57,58.704,68.323,86.314,0.0,725485.0985,4162715.48975,21.6685,7.81029687501723,3.812,1,416,6,2.151,2.092,2.04,1.89,2.621,2.412,2.473,2.376,2.646,2.409,2.221,2.264,2.181,2.401,7.0,157.0,725485.193,4162715.719,0,26844.5658775,11,13.588152183062,14.8610077333333,9.06112100746002,9.19336333883687,Point,725485.193,4162715.719,71.08924112,Alive,20,Keep
268,397,20.886,14.4,3.496,20.928,33.993,41.644,45.58,12.848,41.361,56.723,68.796,75.903,0.0,725488.004,4162717.28175,20.886,9.1657580313622,3.865,1,396,6,2.508,2.036,2.078,2.009,1.938,2.423,2.542,2.52,2.379,1.866,2.269,2.271,2.259,2.122,4.0,77.0,725487.665,4162717.205,0,26844.5658775,11,12.6293967304767,12.8801988,8.34347498201871,8.73955002976786,Point,725487.665,4162717.205,68.52362424,Alive,21,Keep
256,383,19.964,15.0,5.116,17.226,22.595,30.508,34.371,16.696,36.336,44.926,60.022,67.95,0.0,725489.7635,4162718.34625,19.9635,6.73240343760699,3.701,1,382,7,2.095,2.368,2.376,2.635,3.666,2.408,1.902,2.085,1.995,3.119,2.404,2.079,2.301,2.207,3.0,80.0,725489.498,4162718.561,0,26844.5658775,11,10.7640019491767,12.1597018333333,8.28822930466373,8.49714333218803,Point,725489.498,4162718.561,65.49868975999999,Alive,22,Keep
247,373,20.411,13.0,2.836,14.648,27.278,33.654,41.583,10.632,32.899,51.383,62.256,75.128,12.0,725491.12225,4162719.678,20.4115,7.55808731267462,3.751,1,372,6,1.884,2.024,1.94,1.818,1.23,1.519,1.802,1.718,1.81,1.362,1.672,1.882,1.811,1.867,8.0,228.0,725491.077,4162719.858,0,26844.5658775,11,11.4939209228559,12.1550198333333,8.58534030762199,8.62428000456273,Point,725491.077,4162719.858,66.96522524000001,Alive,23,Keep
807,1098,22.183,14.6,6.105,23.174,44.137,50.923,62.192,17.86,43.675,68.316,76.52,93.495,0.0,725450.07425,4162674.81775,22.183,10.2831187496195,4.161,1,1097,8,2.638,2.428,2.371,2.304,6.42,2.807,3.0,2.651,2.689,3.765,2.526,2.674,2.419,2.493,4.0,87.0,725449.903,4162674.74,0,26844.5658775,16,15.312931914131,13.2759413666667,9.62181548020087,9.57716664337334,Point,725449.903,4162674.74,72.77887371999999,Alive,1,Keep
781,1061,20.758,13.8,0.767,13.59,25.305,35.76,45.897,5.261,32.562,49.133,64.639,80.719,12.8,725451.02775,4162675.81875,20.758,7.16236793785356,3.747,1,1060,6,2.043,2.016,2.14,1.87,0.56,1.714,1.856,2.094,2.203,0.925,1.868,1.911,2.069,2.131,8.0,178.0,725452.127,4162675.783,0,26844.5658775,16,12.3292640204037,13.8684737333333,8.67942930301853,9.2086066698173,Point,725452.127,4162675.783,68.10367672,Alive,2,Keep
