geom_x,geom_y,plotID,treeID,pDBH_RF,Z,Z_ft
725470.772,4162732.077,1,277,8.1544666865631,21.941,71.98491044
725472.38,4162733.078,1,11,8.123140007047,20.768,68.13648512
725473.871,4162734.323,1,267,8.33599000434456,20.523,67.33267932
725475.461,4162735.142,1,9,7.63850001138247,19.14,62.7952776
725476.905,4162736.255,1,258,8.1198100045272,20.139,66.07283676
725446.304,4162705.003,1,527,9.51942998088084,21.233,69.66207572
725451.816,4162708.455,1,489,8.11117003273686,20.381,66.86680004
725453.291,4162709.61,1,477,8.32411334827316,20.896,68.55643264
725454.883,4162710.637,1,468,8.12060666275806,20.926,68.65485783999999
725456.593,4162711.776,1,454,7.67807331999166,20.197,66.26312548
725458.126,4162712.561,1,445,8.13787000141359,20.649,67.74606516
725459.558,4162713.665,1,431,8.24998666112833,20.547,67.41141948
725461.375,4162714.844,1,422,8.35951669505804,20.895,68.5531518
725463.919,4162716.31,1,26,7.77705002056466,20.263,66.47966092
725465.471,4162717.659,1,394,8.84373666583296,21.404000000000003,70.22309936
725467.586,4162718.713,1,381,9.08544003448969,20.595,67.5688998
725469.98,4162720.509,1,364,8.4695400108822,21.297,69.87204948
725471.583,4162721.882,1,22,8.67377334878737,20.053,65.79068452
725473.719,4162722.891,1,346,9.19640327993031,20.811,68.27756124
725477.273,4162725.281,1,325,8.4014833445714,20.923,68.64501532
725484.011,4162729.915,1,295,9.43091331886634,20.449,67.08989716
725449.565,4162714.945,1,415,7.74791000887307,21.612999999999996,70.90879491999999
725451.535,4162715.798,1,411,8.19409337351119,21.236,69.67191824
725452.976,4162716.843,1,400,8.63820998747851,21.525,70.620081
725454.677,4162717.896,1,390,8.2984033600198,21.779,71.45341436
725457.207,4162719.862,1,371,9.00130670424873,20.605,67.6017082
725459.198,4162720.989,1,360,8.80817668513336,20.558,67.44750872
725461.993,4162722.966,1,19,7.25186332981583,19.359,63.513781560000005
725464.893,4162724.405,1,330,9.39164999127973,22.700999999999997,74.47834884
725468.308,4162726.544,1,314,8.7209000193384,21.96,72.0472464
725470.013,4162727.614,1,307,8.35316001580796,21.382,70.15092088
725471.158,4162728.895,1,298,8.67001334753076,21.146999999999995,69.37992347999999
725472.712,4162729.78,1,292,8.7115033489876,21.56,70.73491039999999
725474.164,4162730.446,1,287,8.5430966610221,20.304999999999996,66.61745619999999
725475.429,4162731.67,1,279,7.87505666026229,21.766,71.41076344
725477.068,4162732.842,1,275,7.52219668710633,19.871000000000002,65.19357164
725478.83,4162733.677,1,271,8.62802666688587,21.237,69.67519908
725480.898,4162735.214,1,263,8.93377668869053,20.984,68.84514656
725450.127,4162704.078,1,541,9.76002331621643,21.97,72.0800548
725453.728,4162705.966,1,516,8.5224366826608,20.404,66.94225936
725454.876,4162707.217,1,504,8.33029333282425,20.997,68.88779748
725456.458,4162708.037,1,494,8.5676533216925,22.327,73.25131468000001
725458.309,4162708.978,1,486,8.12624002893767,21.027,68.98622268
725459.697,4162710.187,1,471,8.3725666609848,19.7,64.632548
725461.411,4162710.751,1,466,8.60097330767996,21.389,70.17388676
725462.641,4162712.14,1,452,8.87099001630987,21.852,71.69291568
725464.085,4162713.013,1,442,8.03527333316533,20.719000000000005,67.97572396000001
725465.601,4162714.108,1,429,8.50493333588756,19.926,65.37401784
725467.38,4162715.046,1,420,8.34622000224706,20.801,68.24475283999999
725469.139,4162716.425,1,405,8.49739003942754,19.887000000000004,65.24606508000001
725471.793,4162717.921,1,387,8.33977002315149,21.469,70.43635396
725473.456,4162719.119,1,377,9.11786668681411,21.785999999999998,71.47638024
725475.198,4162719.827,1,372,8.73576000485103,20.183,66.21719372
725476.371,4162721.458,1,358,8.555169993773,21.329999999999995,69.98031719999999
725478.227,4162721.58,1,354,8.87927000191777,21.821999999999996,71.59449047999999
725479.328,4162722.981,1,20,8.00829002003669,20.837,68.36286308
725481.126,4162723.977,1,333,8.58726001266794,20.445,67.0767738
725451.398,4162697.377,1,622,9.42734003412359,21.591,70.83661644
725453.616,4162699.355,1,602,9.40681001931357,20.497,67.24737748
725458.396,4162702.201,1,565,8.0496633269971,21.729,71.28937236
725460.273,4162703.128,1,552,7.99307665315113,20.926,68.65485783999999
725461.655,4162704.171,1,539,8.45389999593933,20.312,66.64042208000001
725462.911,4162705.0,1,531,7.97938333776953,21.223,69.62926732
725464.596,4162705.985,1,517,8.07944333361497,21.301,69.88517284
725466.481,4162707.237,1,507,7.8207300133472,21.471,70.44291564
725468.913,4162708.816,1,487,8.58278002356417,21.459,70.40354556
725470.87,4162709.926,1,475,8.95926333243447,21.98,72.1128632
725472.568,4162710.7,1,464,8.31503668663674,21.885,71.8011834
725473.948,4162711.628,1,456,8.01676999964216,21.284,69.82939856
725475.521,4162712.955,1,437,8.17781001220406,21.079,69.15682636
725477.3,4162714.204,1,425,8.12160668854999,21.277999999999995,69.80971351999999
725479.881,4162716.129,1,406,7.90784669454787,20.988,68.85826992
725481.231,4162717.506,1,24,8.5800533292834,19.914,65.33464776000001
725483.224,4162717.924,1,388,8.86313667788077,22.065,72.3917346
725484.584,4162719.169,1,378,8.63718997768753,20.644999999999996,67.73294179999999
725486.188,4162720.124,1,368,8.44097005077503,20.616,67.63779744
725487.585,4162721.167,1,359,8.80435335424633,21.248,69.71128832000001
725489.354,4162722.305,1,350,8.75683335593166,20.090999999999998,65.91535644
725446.452,4162679.716,1,961,9.68719002321473,20.916,68.62204944
725449.071,4162680.783,1,929,10.0042666878495,22.360999999999997,73.36286324
725455.266,4162684.891,1,838,9.51001000428337,21.690999999999995,71.16470043999999
725457.115,4162686.19,1,822,9.33537330600247,21.412,70.24934608
725463.026,4162690.3,1,742,8.53537335792089,21.277999999999995,69.80971351999999
725465.504,4162691.784,1,706,7.4970900033779,20.83,68.3398972
725467.146,4162693.047,1,692,8.79487001997903,21.707,71.21719388
725468.99,4162694.088,1,668,8.8472966729565,21.475,70.456039
725470.799,4162695.369,1,653,7.77634669212444,20.243,66.41404412
725473.107,4162697.169,1,626,7.61011667036693,20.169,66.17126196
725474.88,4162698.224,1,614,8.40297668121949,20.539,67.38517276
725476.03,4162699.231,1,604,8.06076999179466,20.183,66.21719372
725477.849,4162700.257,1,592,8.77978001898116,21.399000000000004,70.20669516000001
725479.251,4162701.465,1,576,7.53049668730619,19.931,65.39042204
725480.776,4162702.092,1,567,8.75257334884257,21.916,71.90288944
725482.615,4162703.226,1,553,8.73079667645347,22.133,72.61483172
725459.009,4162691.237,1,720,8.610049990861,21.397,70.20013347999999
725460.763,4162692.209,1,701,8.16965999915643,20.686,67.86745624
725462.15,4162693.338,1,688,7.66824001920762,19.989,65.58071076
725463.84,4162694.073,1,671,8.4412133298102,20.848,68.39895231999999
725465.351,4162695.309,1,652,7.99657331824567,21.226000000000003,69.63910984
725466.877,4162696.46,1,640,8.16166336575826,21.28,69.8162752
725468.36,4162697.314,1,625,8.94840666777,21.486,70.49212824
725470.053,4162698.207,1,613,8.7552400118317,21.087,69.18307308
725471.177,4162699.707,1,32,8.25720666915604,19.67,64.5341228
725472.681,4162700.322,1,591,8.51877669767646,20.364,66.81102576
725474.412,4162701.447,1,575,8.73965665815836,20.02,65.6824168
725475.956,4162702.483,1,561,8.39746999888114,20.644,67.72966095999999
725477.699,4162703.73,1,551,7.38995334915767,20.264,66.48294176
725480.528,4162705.336,1,526,8.1519400215769,20.697,67.90354547999999
725481.776,4162706.836,1,514,8.5129066713632,19.747,64.78674748
725486.586,4162708.762,1,483,9.6891633531679,21.672,71.10236448
725488.44,4162710.168,1,470,9.88856001257725,20.768,68.13648512
725490.016,4162710.952,1,461,10.2251366835974,21.593,70.84317812
725491.401,4162712.311,1,448,9.64098665998584,21.272999999999996,69.79330931999999
725493.106,4162713.185,1,434,10.3594967034203,21.889,71.81430676
725494.79,4162714.604,1,424,9.89481001376556,21.352000000000004,70.05249568
725455.146,4162696.717,1,639,7.87176998930716,19.321,63.38910964000001
725458.674,4162698.695,1,607,8.50435334410503,20.736,68.03149824
725460.114,4162699.551,1,33,8.47066334327986,20.754999999999995,68.09383419999999
725461.852,4162700.504,1,587,7.71705669615399,20.42,66.9947528
725463.384,4162701.793,1,569,8.8011933841327,20.608,67.61155072
725465.328,4162702.305,1,560,8.79489999842203,22.475999999999996,73.74015983999999
725466.397,4162703.627,1,550,8.09111003979089,21.602999999999998,70.87598652
725468.202,4162704.619,1,536,7.79011666713539,21.638999999999996,70.99409675999999
725469.698,4162705.989,1,521,8.57422334118954,20.782,68.18241688
725471.305,4162706.61,1,513,8.23653331635867,19.59,64.2716556
725472.771,4162708.074,1,497,7.42491001897664,19.848,65.11811232
725475.472,4162709.389,1,479,7.56012998567222,19.977,65.54134068
725477.439,4162710.356,1,472,8.66633335595076,20.944,68.71391296
725478.732,4162711.737,1,459,7.9433033481784,20.527,67.34580268
725480.16,4162712.628,1,447,8.78252668779824,21.293,69.85892611999999
725481.798,4162713.649,1,433,8.78050001686069,21.731,71.29593404
725483.361,4162714.514,1,423,8.75150998688594,22.052,72.34908367999999
725485.193,4162715.719,1,417,9.19336333883687,21.668,71.08924112
725487.665,4162717.205,1,397,8.73955002976786,20.886000000000003,68.52362424
725449.903,4162674.74,1,1098,9.57716664337334,22.182999999999996,72.77887371999999
725455.558,4162678.248,1,998,8.74598000849997,21.505,70.5544642
725457.727,4162679.257,1,977,8.85262671179283,20.701,67.91666884
725459.601,4162680.806,1,923,8.7675233767013,20.363000000000003,66.80774492
725461.475,4162682.163,1,899,8.80345003036324,22.053000000000004,72.35236452000001
725463.057,4162683.211,1,877,8.641196665138,20.976,68.81889984
725464.797,4162684.166,1,853,7.84634667530606,20.021,65.68569764
725466.24,4162685.18,1,830,7.82697998903693,19.721,64.70144564
725467.65,4162686.203,1,813,8.18497334494499,20.236,66.39107824
725469.243,4162686.975,1,799,8.27011335554123,21.363,70.08858492
725470.866,4162688.462,1,777,8.22344666892863,21.094,69.20603896
725473.591,4162689.685,1,753,8.40220670309624,20.904,68.58267936
725475.257,4162691.074,1,725,8.59844333501984,20.73,68.0118132
725476.957,4162691.812,1,707,8.45385001267304,20.039000000000005,65.74475276000001
725478.35,4162693.556,1,689,6.964046669095,19.724,64.71128816
725481.031,4162694.991,1,654,8.56536334855634,21.427,70.29855868
725482.912,4162696.23,1,642,8.19204665664323,21.350999999999996,70.04921483999999
725484.146,4162697.376,1,34,7.95561001140629,20.061,65.81693124
725457.047,4162675.757,1,1069,7.8617400207781,21.489,70.50197076
725458.523,4162676.407,1,1048,8.23792000988683,20.05,65.780842
