geom_x,geom_y,plotID,treeID,pDBH_RF,Z,Z_ft
725477.273,4162725.281,1,325,8.4014833445714,20.923,68.64501532
725480.659,4162727.791,1,15,8.84261998377286,20.491,67.22769244
725482.211,4162728.669,1,300,8.60956998033129,20.7,67.913388
725484.011,4162729.915,1,295,9.43091331886634,20.449,67.08989716
725442.778,4162709.937,1,474,9.215986688818,23.096,75.77428064
725445.16,4162711.585,1,453,9.02683333844624,21.69,71.1614196
725446.941,4162712.712,1,444,8.39484000645544,20.782,68.18241688
725451.535,4162715.798,1,411,8.19409337351119,21.236,69.67191824
725452.976,4162716.843,1,400,8.63820998747851,21.525,70.620081
725454.677,4162717.896,1,390,8.2984033600198,21.779,71.45341436
725457.207,4162719.862,1,371,9.00130670424873,20.605,67.6017082
725459.198,4162720.989,1,360,8.80817668513336,20.558,67.44750872
725464.893,4162724.405,1,330,9.39164999127973,22.700999999999997,74.47834884
725466.848,4162725.512,1,323,8.96217335648967,21.698,71.18766632
725468.308,4162726.544,1,314,8.7209000193384,21.96,72.0472464
725470.013,4162727.614,1,307,8.35316001580796,21.382,70.15092088
725471.158,4162728.895,1,298,8.67001334753076,21.146999999999995,69.37992347999999
725472.712,4162729.78,1,292,8.7115033489876,21.56,70.73491039999999
725474.164,4162730.446,1,287,8.5430966610221,20.304999999999996,66.61745619999999
725478.83,4162733.677,1,271,8.62802666688587,21.237,69.67519908
725480.898,4162735.214,1,263,8.93377668869053,20.984,68.84514656
725448.074,4162702.469,1,559,8.76015668308816,19.671,64.53740364
725450.127,4162704.078,1,541,9.76002331621643,21.97,72.0800548
725452.172,4162704.981,1,530,8.9778433514057,22.173,72.74606532
725453.728,4162705.966,1,516,8.5224366826608,20.404,66.94225936
725454.876,4162707.217,1,504,8.33029333282425,20.997,68.88779748
725456.458,4162708.037,1,494,8.5676533216925,22.327,73.25131468000001
725459.697,4162710.187,1,471,8.3725666609848,19.7,64.632548
725461.411,4162710.751,1,466,8.60097330767996,21.389,70.17388676
725462.641,4162712.14,1,452,8.87099001630987,21.852,71.69291568
725465.601,4162714.108,1,429,8.50493333588756,19.926,65.37401784
725467.38,4162715.046,1,420,8.34622000224706,20.801,68.24475283999999
725469.139,4162716.425,1,405,8.49739003942754,19.887000000000004,65.24606508000001
725471.793,4162717.921,1,387,8.33977002315149,21.469,70.43635396
725473.456,4162719.119,1,377,9.11786668681411,21.785999999999998,71.47638024
725475.198,4162719.827,1,372,8.73576000485103,20.183,66.21719372
725476.371,4162721.458,1,358,8.555169993773,21.329999999999995,69.98031719999999
725478.227,4162721.58,1,354,8.87927000191777,21.821999999999996,71.59449047999999
725481.126,4162723.977,1,333,8.58726001266794,20.445,67.0767738
725482.425,4162725.336,1,327,8.70203332053899,21.575,70.784123
725484.509,4162726.334,1,318,8.74705666280041,21.157,69.41273188
725451.398,4162697.377,1,622,9.42734003412359,21.591,70.83661644
725453.616,4162699.355,1,602,9.40681001931357,20.497,67.24737748
725455.503,4162700.217,1,590,8.78734666124267,21.551,70.70538284
725456.898,4162701.009,1,574,8.61239335103297,20.681,67.85105204
725461.655,4162704.171,1,539,8.45389999593933,20.312,66.64042208000001
725468.913,4162708.816,1,487,8.58278002356417,21.459,70.40354556
