cat,treeID,Z,HTLC_x,vol1,vol2,vol3,vol4,vol5,sfa1,sfa2,sfa3,sfa4,sfa5,UndHt,XTOP,YTOP,ZTOP,Carea,mCDst,plotID,uni,NNhere,CI_Carea,CI_Z,CI_mCDst,CI_HTLC,CI_vol1,CI_vol2,CI_vol3,CI_vol4,CI_vol5,CI_sfa1,CI_sfa2,CI_sfa3,CI_sfa4,CI_sfa5,SILVA1,SILVA2,X1,Y1,Id,Area,NL,pStV_LMR,pStV_RF,pDBH_LMR,pDBH_RF,geom_type,geom_x,geom_y,Z_ft,status,tree_idx_in_row,thin_decision,LD,CI1
3115,4219,21.828,15.4,3.32,17.242,33.092,43.214,55.735,12.521,38.2,61.537,77.2,96.97,0.0,725509.701,4162539.20975,21.82775,7.87635075009894,4.631,1,4218,7,1.91,2.326,2.201,2.862,3.051,2.329,2.298,2.046,2.115,2.48,2.268,2.334,2.153,2.225,2.0,59.0,725510.171,4162538.855,0,26844.5658775,64,14.4265571031468,16.0585935666667,10.0405153846431,9.89223335221374,Point,725510.171,4162538.855,71.61417552,Alive,11,Keep,26.78816791779481,11.396
3104,4208,21.677,13.0,6.7,27.232,47.763,69.089,93.937,20.404,49.364,72.471,96.409,124.383,0.0,725511.63925,4162540.35,21.677,12.9886977504939,5.435,1,4207,6,2.602,1.854,2.092,1.815,3.728,2.743,2.586,2.754,3.047,2.821,2.246,2.149,2.203,2.344,6.0,87.0,725512.131,4162540.052,0,26844.5658775,64,18.5630405632868,14.1734557666667,11.0083687838286,9.45093999221469,Point,725512.131,4162540.052,71.11876868,Alive,12,Keep,25.593145498917384,11.527
3086,4189,20.816,12.2,5.086,27.188,48.258,70.39,86.579,16.462,50.968,74.073,98.098,117.114,0.0,725514.27625,4162542.307,20.816,12.4522200621432,5.022,1,4188,7,2.632,1.909,2.127,1.74,2.823,2.847,2.881,3.139,3.082,2.231,2.473,2.427,2.479,2.399,8.0,133.0,725514.329,4162541.494,0,26844.5658775,64,17.0630749294805,13.7632485333333,10.3948738454602,9.37326999806166,Point,725514.329,4162541.494,68.29396544,Alive,13,Keep,25.38281515475098,11.551
3077,4180,21.914,18.0,3.329,19.521,41.495,61.551,79.591,13.132,40.26,66.639,90.509,111.912,0.0,725515.62625,4162543.28025,21.914,11.7262041880749,5.03,1,4179,7,2.388,2.06,2.107,2.915,1.701,1.953,2.409,2.645,2.739,1.683,1.891,2.148,2.255,2.287,0.0,0.0,725516.405,4162543.063,0,26844.5658775,64,17.3177929815968,15.4443113666667,10.6135986072399,9.87958664215367,Point,725516.405,4162543.063,71.89632776,Alive,14,Keep,26.75392062695214,11.507
3059,4162,21.656,11.6,3.16,17.858,40.697,66.108,76.535,12.603,38.517,65.725,93.705,105.693,4.2,725519.08875,4162545.24325,21.6555,13.4017582812812,5.482,1,4161,7,2.783,2.134,2.32,2.156,1.88,1.877,2.348,2.878,2.729,1.757,1.889,2.12,2.394,2.248,7.0,93.0,725519.031,4162544.645,0,26844.5658775,64,16.5738003596265,13.1691539333333,10.3484188820709,9.46129667046078,Point,725519.031,4162544.645,71.04987104,Alive,15,Keep,25.62119138360779,11.74
3049,4150,19.81,8.0,4.024,18.261,33.474,42.679,45.212,14.41,39.621,62.463,76.591,82.131,6.2,725519.61,4162546.25575,19.80975,8.34470621938817,4.584,1,4149,7,1.587,2.105,1.853,1.701,2.449,1.951,1.868,1.659,1.382,2.07,2.003,2.034,1.87,1.634,16.0,446.0,725520.9,4162545.731,0,26844.5658775,64,10.9683434625541,12.6650326888889,9.33662735300487,8.90028331927447,Point,725520.9,4162545.731,64.9934404,Alive,16,Keep,24.101967228595267,11.866
3042,4143,20.524,9.6,5.689,20.994,37.346,54.145,67.396,18.673,42.5,65.287,89.152,109.213,8.2,725521.97,4162547.2015,20.5235,9.57545134419343,5.333,1,4142,6,1.833,2.042,2.218,1.953,3.191,1.926,1.87,2.053,2.175,2.59,1.902,1.919,2.095,2.202,12.0,301.0,725522.296,4162546.717,0,26844.5658775,64,14.2920932793269,17.9454020857143,10.4659012855406,10.3141533186197,Point,725522.296,4162546.717,67.33596016,Alive,17,Keep,27.93072718682215,11.746
3031,4132,21.461,13.4,3.046,24.652,46.153,58.87,68.531,12.331,46.851,72.439,88.865,102.366,3.8,725524.02675,4162547.995,21.46125,10.3412360308866,4.515,1,4131,6,1.631,1.823,1.545,2.18,1.01,1.828,1.902,1.767,1.657,1.201,1.768,1.806,1.71,1.623,5.0,151.0,725524.176,4162548.029,0,26844.5658775,64,15.400741780758,17.1832317952381,10.3035769771922,10.1983133349397,Point,725524.176,4162548.029,70.41010723999999,Alive,18,Keep,27.61703251101671,11.618
3002,4103,21.445,12.4,6.745,25.456,52.33,71.245,82.031,20.824,46.523,78.557,100.291,114.784,4.2,725526.761,4162550.50175,21.44525,11.9652698754799,5.221,1,4102,6,2.185,1.772,1.936,1.646,2.692,1.957,2.305,2.452,2.434,2.306,1.743,2.004,2.06,2.026,8.0,190.0,725526.835,4162549.839,0,26844.5658775,64,16.8136424636222,17.1565539666667,10.6588782844272,9.66635665444997,Point,725526.835,4162549.839,70.3576138,Alive,19,Keep,26.17649382025052,11.706
2989,4088,20.308,12.0,6.334,31.767,58.107,85.376,107.968,19.838,59.609,85.918,114.785,141.201,4.0,725527.259,4162551.3835,20.3085,15.7448849369539,6.455,1,4087,6,2.269,1.526,2.069,1.476,2.205,2.199,2.044,2.187,2.399,1.979,2.074,1.864,1.916,2.047,7.0,118.0,725529.168,4162550.843,0,26844.5658775,64,19.1827168596588,17.0233113,11.851033256489,10.1913766619171,Point,725529.168,4162550.843,66.62729872,Alive,20,Keep,27.59824800047151,11.275
2966,4065,21.707,16.2,4.527,19.918,42.957,64.368,72.806,15.068,40.012,69.744,96.186,107.47,0.0,725531.54675,4162553.28475,21.7075,11.3386202811962,5.167,1,4064,7,2.529,2.115,2.396,2.48,2.207,1.902,2.348,2.598,2.451,2.036,1.852,2.189,2.338,2.172,1.0,15.0,725531.083,4162552.897,0,26844.5658775,64,16.382151139658,13.5767841666667,10.2668958920368,9.7678366751976,Point,725531.083,4162552.897,71.21719388,Alive,21,Keep,26.451301716435104,11.907
2951,4048,20.882,14.6,4.71,18.164,28.822,38.287,46.16,15.44,38.399,55.042,69.622,85.525,3.4,725532.96725,4162554.2905,20.882,6.71522318758071,3.767,1,4047,7,1.916,2.345,2.194,2.475,3.367,2.499,2.16,2.138,2.114,2.896,2.421,2.247,2.216,2.247,4.0,106.0,725532.598,4162554.613,0,26844.5658775,64,12.6194479496824,15.1703316,9.11385454315421,9.01721002603425,Point,725532.598,4162554.613,68.51050088000001,Alive,22,Keep,24.41860475050075,12.829
2938,4035,21.505,14.6,2.803,11.352,20.167,25.646,33.212,10.929,28.863,44.304,53.814,70.773,0.0,725534.23725,4162555.145,21.50475,5.55242684320547,3.378,1,4034,7,1.873,2.749,2.214,2.751,2.3,1.672,1.764,1.75,1.87,2.321,1.987,2.075,2.009,2.192,5.0,168.0,725534.235,4162555.517,0,26844.5658775,64,11.4071974735219,12.8051934666667,8.86738014791817,8.88551005912586,Point,725534.235,4162555.517,70.5544642,Alive,23,Keep,24.06196124011283,12.892
128,213,20.672,14.4,2.602,16.641,27.826,40.858,47.893,11.671,36.28,52.653,74.563,87.603,0.0,725534.45525,4162554.485,20.67225,7.06785659375601,3.708,1,213,6,1.801,2.031,1.772,2.133,1.552,2.019,1.9,2.16,2.024,1.89,1.97,1.867,2.118,2.006,6.0,249.0,725535.22,4162553.631,0,26844.5658775,64,12.3206258850529,13.9245265333333,8.96234147585666,9.25417002313143,Point,725535.22,4162553.631,67.82152448000001,Alive,24,Keep,25.06029242263991,10.857
2925,4021,19.7,15.4,2.881,13.99,21.461,24.405,30.514,11.106,31.961,45.116,52.352,64.75,0.0,725534.80025,4162556.1065,19.70025,5.94681384362048,3.518,1,4020,7,2.026,2.437,2.31,2.838,2.731,2.273,1.947,1.674,1.698,2.561,2.308,2.157,1.976,1.996,4.0,114.0,725535.65,4162556.423,0,26844.5658775,64,10.0738276180808,10.7619216666667,8.1200389313387,8.58475664016869,Point,725535.65,4162556.423,64.632548,Alive,25,Keep,23.247520981576816,12.91
2913,4007,20.706,13.6,3.766,17.108,29.655,41.016,49.303,13.924,37.721,55.715,73.975,88.013,0.0,725537.2005,4162557.44475,20.70575,7.80316775036044,4.245,1,4006,6,1.923,2.075,2.034,2.044,2.903,2.024,1.971,2.176,2.2,2.629,2.071,2.007,2.18,2.221,7.0,176.0,725537.379,4162557.197,0,26844.5658775,64,12.6844688441153,13.9520435333334,9.18955007237407,9.2308533477273,Point,725537.379,4162557.197,67.93307304,Alive,26,Keep,24.997150865645526,12.448
2900,3993,21.519,12.6,3.536,17.588,34.253,47.479,49.119,13.267,38.069,62.779,80.852,83.277,0.0,725538.87675,4162558.361,21.519,9.02177175006364,5.096,1,3992,7,2.262,2.315,2.589,2.043,2.343,1.989,2.28,2.412,2.053,2.263,2.038,2.317,2.383,2.058,9.0,219.0,725538.944,4162558.219,0,26844.5658775,64,13.080559965219,14.1980535333333,9.58273491997305,9.42739331311223,Point,725538.944,4162558.219,70.60039596,Alive,27,Keep,25.52938109190792,12.388
